Crime Type,Precision,Recall,F1-Score
ARSON,0.2,0.08,0.11428571428571428
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,0.0,0.0,0.0
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0.577485380116959,0.6929824561403509,0.6299840510366826
ATTEMPTED ROBBERY,0.0,0.0,0.0
BATTERY - SIMPLE ASSAULT,0.6027667984189723,0.8144192256341789,0.6927881885292447
BATTERY ON A FIREFIGHTER,0.0,0.0,0.0
BATTERY POLICE (SIMPLE),0.26666666666666666,0.15384615384615385,0.1951219512195122
BATTERY WITH SEXUAL CONTACT,0.5,0.14285714285714285,0.2222222222222222
BIKE - STOLEN,0.5,0.011111111111111112,0.021739130434782608
BOMB SCARE,0.0,0.0,0.0
BRANDISH WEAPON,0.8979591836734694,0.8979591836734694,0.8979591836734694
"BUNCO, ATTEMPT",0.0,0.0,0.0
"BUNCO, GRAND THEFT",0.75,0.11538461538461539,0.2
"BUNCO, PETTY THEFT",0.0,0.0,0.0
BURGLARY,0.5248868778280543,0.7388535031847133,0.6137566137566137
BURGLARY FROM VEHICLE,0.47833775419982316,0.7451790633608816,0.5826602046311254
"BURGLARY FROM VEHICLE, ATTEMPTED",0.0,0.0,0.0
"BURGLARY, ATTEMPTED",0.0,0.0,0.0
CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,1.0,0.14285714285714285,0.25
CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0.2857142857142857,0.17391304347826086,0.21621621621621623
CHILD ANNOYING (17YRS & UNDER),0.5,0.25,0.3333333333333333
CHILD NEGLECT (SEE 300 W.I.C.),1.0,0.25,0.4
CHILD PORNOGRAPHY,0.0,0.0,0.0
CHILD STEALING,0.0,0.0,0.0
CONSPIRACY,0.0,0.0,0.0
CONTEMPT OF COURT,0.25,0.043478260869565216,0.07407407407407407
CONTRIBUTING,0.0,0.0,0.0
COUNTERFEIT,0.0,0.0,0.0
"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",0.0,0.0,0.0
CRIMINAL HOMICIDE,1.0,0.8571428571428571,0.9230769230769231
CRIMINAL THREATS - NO WEAPON DISPLAYED,0.8145695364238411,0.9609375,0.8817204301075269
CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0.7777777777777778,0.6363636363636364,0.7
CRUELTY TO ANIMALS,0.0,0.0,0.0
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 & UNDER",0.0,0.0,0.0
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $950.01",0.0,0.0,0.0
DISCHARGE FIREARMS/SHOTS FIRED,0.7058823529411765,0.9230769230769231,0.8
DISTURBING THE PEACE,0.0,0.0,0.0
DOCUMENT FORGERY / STOLEN FELONY,0.0,0.0,0.0
DOCUMENT WORTHLESS ($200.01 & OVER),0.0,0.0,0.0
DRIVING WITHOUT OWNER CONSENT (DWOC),1.0,0.16666666666666666,0.2857142857142857
DRUNK ROLL,0.0,0.0,0.0
"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",0.896551724137931,0.6190476190476191,0.7323943661971831
"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)",0.0,0.0,0.0
EXTORTION,0.0,0.0,0.0
FAILURE TO YIELD,0.75,0.2,0.3157894736842105
FALSE IMPRISONMENT,0.0,0.0,0.0
FALSE POLICE REPORT,1.0,0.2,0.3333333333333333
HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,0.5,0.14285714285714285,0.2222222222222222
HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,0.0,0.0,0.0
INDECENT EXPOSURE,0.0,0.0,0.0
INTIMATE PARTNER - AGGRAVATED ASSAULT,0.5,0.3025210084033613,0.3769633507853403
INTIMATE PARTNER - SIMPLE ASSAULT,0.5243362831858407,0.5374149659863946,0.5307950727883539
KIDNAPPING,0.5,0.1,0.16666666666666666
KIDNAPPING - GRAND ATTEMPT,0.0,0.0,0.0
"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",0.9896907216494846,1.0,0.9948186528497409
LEWD CONDUCT,0.0,0.0,0.0
LEWD/LASCIVIOUS ACTS WITH CHILD,0.0,0.0,0.0
ORAL COPULATION,0.0,0.0,0.0
OTHER ASSAULT,0.0,0.0,0.0
OTHER MISCELLANEOUS CRIME,0.7368421052631579,0.35,0.4745762711864407
PANDERING,0.0,0.0,0.0
PEEPING TOM,0.0,0.0,0.0
PICKPOCKET,0.25,0.06451612903225806,0.10256410256410256
"PICKPOCKET, ATTEMPT",0.0,0.0,0.0
PIMPING,0.0,0.0,0.0
PROWLER,0.0,0.0,0.0
PURSE SNATCHING,0.0,0.0,0.0
"RAPE, ATTEMPTED",0.0,0.0,0.0
"RAPE, FORCIBLE",0.92,0.6571428571428571,0.7666666666666667
RECKLESS DRIVING,0.0,0.0,0.0
RESISTING ARREST,0.75,0.3,0.42857142857142855
ROBBERY,0.6363636363636364,0.47076023391812866,0.5411764705882353
SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,0.5555555555555556,0.5555555555555556,0.5555555555555556
"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",0.5,0.16666666666666666,0.25
SEXUAL PENETRATION W/FOREIGN OBJECT,1.0,0.07692307692307693,0.14285714285714285
SHOPLIFTING - ATTEMPT,0.0,0.0,0.0
SHOPLIFTING - PETTY THEFT ($950 & UNDER),0.6342412451361867,0.8489583333333334,0.7260579064587973
SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0.1111111111111111,0.012345679012345678,0.022222222222222223
SHOTS FIRED AT INHABITED DWELLING,0.6521739130434783,0.5555555555555556,0.6
"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",0.0,0.0,0.0
SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,0.0,0.0,0.0
STALKING,0.0,0.0,0.0
THEFT FROM MOTOR VEHICLE - ATTEMPT,0.0,0.0,0.0
THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0.4748603351955307,0.25449101796407186,0.3313840155945419
THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0.9813084112149533,0.27202072538860106,0.4259634888438134
THEFT FROM PERSON - ATTEMPT,0.0,0.0,0.0
THEFT OF IDENTITY,0.9904610492845787,0.9904610492845787,0.9904610492845787
THEFT PLAIN - ATTEMPT,0.0,0.0,0.0
THEFT PLAIN - PETTY ($950 & UNDER),0.5452352231604343,0.8278388278388278,0.6574545454545454
"THEFT, COIN MACHINE - ATTEMPT",0.0,0.0,0.0
"THEFT, PERSON",0.3333333333333333,0.0975609756097561,0.1509433962264151
"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0.4696969696969697,0.08378378378378379,0.14220183486238533
THREATENING PHONE CALLS/LETTERS,0.0,0.0,0.0
THROWING OBJECT AT MOVING VEHICLE,0.0,0.0,0.0
TRESPASSING,0.5434782608695652,0.43859649122807015,0.4854368932038835
UNAUTHORIZED COMPUTER ACCESS,0.0,0.0,0.0
"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0.5101058710298364,0.848,0.6370192307692307
VANDALISM - MISDEAMEANOR ($399 OR UNDER),0.4666666666666667,0.030837004405286344,0.05785123966942149
VEHICLE - ATTEMPT STOLEN,0.0,0.0,0.0
VEHICLE - STOLEN,0.8832528180354268,0.9945602901178604,0.9356076759061833
"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0.0,0.0,0.0
VIOLATION OF COURT ORDER,0.4,0.043478260869565216,0.0784313725490196
VIOLATION OF RESTRAINING ORDER,0.41284403669724773,0.4891304347826087,0.44776119402985076
VIOLATION OF TEMPORARY RESTRAINING ORDER,0.0,0.0,0.0
