Actual Crime Type,Predicted Crime Type,Count
ARSON,ARSON,2
BOAT - STOLEN,ARSON,1
INDECENT EXPOSURE,ARSON,1
PURSE SNATCHING,ARSON,1
RESISTING ARREST,ARSON,1
SEXUAL PENETRATION W/FOREIGN OBJECT,ARSON,1
SHOPLIFTING-GRAND THEFT ($950.01 & OVER),ARSON,1
SHOTS FIRED AT INHABITED DWELLING,ARSON,2
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",4
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",395
ATTEMPTED ROBBERY,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",23
"BUNCO, GRAND THEFT","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",10
"BUNCO, PETTY THEFT","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",6
"BURGLARY FROM VEHICLE, ATTEMPTED","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",4
EXTORTION,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",68
LYNCHING - ATTEMPTED,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1
PANDERING,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",144
"RAPE, FORCIBLE","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",11
RECKLESS DRIVING,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",5
"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1
SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",9
STALKING,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",3
ARSON,BATTERY - SIMPLE ASSAULT,1
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",BATTERY - SIMPLE ASSAULT,1
BATTERY - SIMPLE ASSAULT,BATTERY - SIMPLE ASSAULT,610
BATTERY ON A FIREFIGHTER,BATTERY - SIMPLE ASSAULT,2
BATTERY POLICE (SIMPLE),BATTERY - SIMPLE ASSAULT,14
BATTERY WITH SEXUAL CONTACT,BATTERY - SIMPLE ASSAULT,14
BIKE - STOLEN,BATTERY - SIMPLE ASSAULT,3
BRANDISH WEAPON,BATTERY - SIMPLE ASSAULT,5
"BUNCO, ATTEMPT",BATTERY - SIMPLE ASSAULT,2
"BURGLARY, ATTEMPTED",BATTERY - SIMPLE ASSAULT,7
CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,BATTERY - SIMPLE ASSAULT,2
"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",BATTERY - SIMPLE ASSAULT,3
CRIMINAL HOMICIDE,BATTERY - SIMPLE ASSAULT,3
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 & UNDER",BATTERY - SIMPLE ASSAULT,1
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $950.01",BATTERY - SIMPLE ASSAULT,1
DISCHARGE FIREARMS/SHOTS FIRED,BATTERY - SIMPLE ASSAULT,4
DISTURBING THE PEACE,BATTERY - SIMPLE ASSAULT,1
DOCUMENT WORTHLESS ($200 & UNDER),BATTERY - SIMPLE ASSAULT,1
DRUNK ROLL,BATTERY - SIMPLE ASSAULT,1
FAILURE TO YIELD,BATTERY - SIMPLE ASSAULT,203
FALSE IMPRISONMENT,BATTERY - SIMPLE ASSAULT,4
INTIMATE PARTNER - AGGRAVATED ASSAULT,BATTERY - SIMPLE ASSAULT,40
LEWD/LASCIVIOUS ACTS WITH CHILD,BATTERY - SIMPLE ASSAULT,1
OTHER MISCELLANEOUS CRIME,BATTERY - SIMPLE ASSAULT,3
PICKPOCKET,BATTERY - SIMPLE ASSAULT,1
ROBBERY,BATTERY - SIMPLE ASSAULT,1
THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),BATTERY - SIMPLE ASSAULT,8
THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),BATTERY - SIMPLE ASSAULT,2
THEFT FROM PERSON - ATTEMPT,BATTERY - SIMPLE ASSAULT,2
THEFT OF IDENTITY,BATTERY - SIMPLE ASSAULT,56
THEFT PLAIN - ATTEMPT,BATTERY - SIMPLE ASSAULT,15
BATTERY - SIMPLE ASSAULT,BATTERY POLICE (SIMPLE),1
BATTERY POLICE (SIMPLE),BATTERY POLICE (SIMPLE),4
OTHER MISCELLANEOUS CRIME,BATTERY POLICE (SIMPLE),3
THEFT OF IDENTITY,BATTERY POLICE (SIMPLE),6
THEFT PLAIN - ATTEMPT,BATTERY POLICE (SIMPLE),1
BATTERY WITH SEXUAL CONTACT,BATTERY WITH SEXUAL CONTACT,4
FALSE IMPRISONMENT,BATTERY WITH SEXUAL CONTACT,1
INTIMATE PARTNER - SIMPLE ASSAULT,BATTERY WITH SEXUAL CONTACT,1
THREATENING PHONE CALLS/LETTERS,BATTERY WITH SEXUAL CONTACT,1
THROWING OBJECT AT MOVING VEHICLE,BATTERY WITH SEXUAL CONTACT,1
BIKE - ATTEMPTED STOLEN,BIKE - ATTEMPTED STOLEN,1
"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",BIKE - ATTEMPTED STOLEN,1
