DATE,SYMBOL,SERIES,PREV CLOSE,OPEN,HIGH,LOW,LAST,CLOSE,VWAP,VOLUME,TURNOVER,TRADES,DELIVERABLE VOLUME,%DELIVERBLE
2016-01-01,HDFC,EQ,1263.75,1261.0,1266.9,1250.65,1257.8,1258.45,1258.39,676161,85087506875000.0,13230,308262,0.4559
2016-01-04,HDFC,EQ,1258.45,1250.0,1253.9,1212.05,1217.15,1216.7,1227.55,1995329,244937056355000.03,78529,1360507,0.6818000000000001
2016-01-05,HDFC,EQ,1216.7,1229.9,1233.45,1206.5,1208.15,1209.4,1219.5,2325929,283646403125000.0,109820,1644980,0.7072
2016-01-06,HDFC,EQ,1209.4,1209.6,1220.75,1202.4,1207.55,1209.3,1210.81,2746330,332528632100000.0,96546,2001431,0.7288
2016-01-07,HDFC,EQ,1209.3,1198.85,1203.55,1175.0,1176.35,1179.45,1186.35,1780298,211205540675000.0,60151,1172564,0.6586
2016-01-08,HDFC,EQ,1179.45,1189.85,1230.0,1169.0,1176.45,1174.4,1175.62,2467149,290042344730000.0,79183,1703449,0.6905
2016-01-11,HDFC,EQ,1174.4,1165.0,1171.0,1150.1,1162.35,1161.55,1158.32,2288312,265059728000000.0,90184,1541783,0.6738
2016-01-12,HDFC,EQ,1161.55,1169.4,1169.4,1146.05,1149.0,1151.85,1152.94,1942208,223924642205000.03,60394,1307327,0.6731
2016-01-13,HDFC,EQ,1151.85,1157.0,1173.65,1145.35,1166.0,1167.65,1157.4,1830178,211824759530000.0,67493,1013586,0.5538000000000001
2016-01-14,HDFC,EQ,1167.65,1154.9,1167.0,1147.15,1162.0,1159.3,1158.69,3250397,376619412345000.0,88329,2243147,0.6901
2016-01-15,HDFC,EQ,1159.3,1160.7,1167.3,1143.15,1148.0,1149.8,1155.28,1890878,218448684975000.0,54238,1215113,0.6426000000000001
2016-01-18,HDFC,EQ,1149.8,1140.0,1157.7,1125.1,1127.95,1131.8,1139.19,2262744,257769061300000.0,48680,1569012,0.6934
2016-01-19,HDFC,EQ,1131.8,1132.9,1157.15,1130.9,1151.0,1153.0,1146.74,1418630,162679485585000.0,68378,861562,0.6073
2016-01-20,HDFC,EQ,1153.0,1140.25,1198.1,1129.15,1138.0,1136.65,1136.18,2585069,293709316935000.0,82183,1936503,0.7491
2016-01-21,HDFC,EQ,1136.65,1147.05,1147.7,1121.15,1132.0,1131.1,1131.36,5451792,616792817670000.0,98807,4097208,0.7515000000000001
2016-01-22,HDFC,EQ,1131.1,1140.0,1163.2,1135.2,1159.0,1158.45,1154.39,2741456,316471336550000.0,90734,1970887,0.7189
2016-01-25,HDFC,EQ,1158.45,1165.0,1183.4,1155.0,1175.0,1174.6,1175.68,2457396,288911297580000.0,105103,1957586,0.7966
2016-01-27,HDFC,EQ,1174.6,1176.4,1188.45,1162.0,1162.5,1169.95,1175.94,2496568,293581838480000.0,63831,1663988,0.6665000000000001
2016-01-28,HDFC,EQ,1169.95,1150.0,1159.65,1138.0,1151.5,1147.75,1149.97,4077193,468865349830000.0,145360,3012750,0.7389
2016-01-29,HDFC,EQ,1147.75,1147.75,1187.75,1145.05,1177.0,1180.0,1175.65,3136336,368724548475000.0,124408,2128783,0.6787000000000001
2016-02-01,HDFC,EQ,1180.0,1182.4,1193.95,1170.6,1178.15,1180.05,1182.69,2136935,252733934385000.0,100847,1458767,0.6826000000000001
2016-02-02,HDFC,EQ,1180.05,1177.6,1192.85,1166.5,1180.6,1179.8,1181.82,2338231,276335850205000.03,86110,1616392,0.6912999999999999
2016-02-03,HDFC,EQ,1179.8,1174.4,1180.85,1158.4,1161.8,1160.95,1167.76,2896768,338272225680000.0,84663,2068425,0.7140000000000001
2016-02-04,HDFC,EQ,1160.95,1165.25,1177.0,1163.3,1168.0,1168.35,1171.0,1622222,189962451835000.0,59429,993851,0.6126
2016-02-05,HDFC,EQ,1168.35,1169.0,1186.1,1169.0,1183.6,1182.95,1182.13,1168106,138085112059999.98,56288,674853,0.5777
2016-02-08,HDFC,EQ,1182.95,1185.2,1186.0,1158.05,1160.0,1164.1,1171.97,1497068,175451718015000.0,60090,1061171,0.7088
2016-02-09,HDFC,EQ,1164.1,1151.1,1168.65,1140.3,1158.0,1159.9,1151.23,1662393,191379747095000.0,48668,1001949,0.6027
2016-02-10,HDFC,EQ,1159.9,1155.0,1156.75,1110.5,1118.8,1116.55,1128.59,2964666,334589226345000.0,110371,2230198,0.7523000000000001
